Archivo de Log inicializado: 2016-04-11.22:54:23

2016-04-11.22:54:23 || Starting...
2016-04-11.22:55:11 || doReading | ERROR reading from socket
2016-04-11.22:58:12 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:12 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:12 || processMessages | Processing input queue message: 1
2016-04-11.22:58:12 || doWriting | Received queue message: 1
2016-04-11.22:58:13 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:13 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:13 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:13 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
2016-04-11.22:58:25 || doReading | Client send this message: 0151         i1
2016-04-11.22:58:25 || doReading | Inserting message '0151         i1' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: 1
2016-04-11.22:58:25 || doWriting | Received queue message: 1
2016-04-11.22:58:25 || doReading | Client send this message: 0242         shola mundo
2016-04-11.22:58:25 || doReading | Inserting message '0242         shola mundo' into clients queue
2016-04-11.22:58:25 || processMessages | Processing input queue message: hola mundo
2016-04-11.22:58:25 || doWriting | Received queue message: hola mundo
