Archivo de Log inicializado: 2016-04-12.10:15:31

2016-04-12.10:15:31 || Starting...
2016-04-12.10:20:04 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:20:04 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:20:04 || processMessages | Processing input queue message: 1
2016-04-12.10:20:04 || validate_message | Validating Integer
2016-04-12.10:20:04 || doWriting | Received queue message: 1
2016-04-12.10:20:05 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:20:05 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:20:05 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:20:05 || validate_message | Validating String
2016-04-12.10:20:05 || doWriting | Received queue message: hola mundo
2016-04-12.10:20:05 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:20:05 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:20:05 || processMessages | Processing input queue message: 1
2016-04-12.10:20:05 || validate_message | Validating Integer
2016-04-12.10:20:05 || doWriting | Received queue message: 1
2016-04-12.10:20:06 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:20:06 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:20:06 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:20:06 || validate_message | Validating String
2016-04-12.10:20:06 || doWriting | Received queue message: hola mundo
2016-04-12.10:20:06 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:20:06 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:20:06 || processMessages | Processing input queue message: 1
2016-04-12.10:20:06 || validate_message | Validating Integer
2016-04-12.10:20:06 || doWriting | Received queue message: 1
2016-04-12.10:20:07 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:20:07 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:20:07 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:20:07 || validate_message | Validating String
2016-04-12.10:20:07 || doWriting | Received queue message: hola mundo
2016-04-12.10:22:07 || doReading | ERROR reading from socket
2016-04-12.10:24:26 || doReading | ERROR reading from socket
2016-04-12.10:37:38 || Exit signal received. Closing application...
2016-04-12.10:37:38 || Application closed.
