Archivo de Log inicializado: 2016-04-12.10:09:56

2016-04-12.10:09:56 || Starting...
2016-04-12.10:10:24 || doReading | Quit message received
2016-04-12.10:10:24 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:25 || doReading | Quit message received
2016-04-12.10:10:25 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:26 || doReading | Quit message received
2016-04-12.10:10:26 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:26 || doReading | Quit message received
2016-04-12.10:10:26 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:27 || doReading | Quit message received
2016-04-12.10:10:27 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:28 || doReading | Quit message received
2016-04-12.10:10:28 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:28 || doReading | Quit message received
2016-04-12.10:10:28 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:29 || doReading | Quit message received
2016-04-12.10:10:29 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:10:29 || doReading | Quit message received
2016-04-12.10:10:29 || doWriting | Exit message received: Client Connection Closed
2016-04-12.10:11:31 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:31 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:31 || processMessages | Processing input queue message: 1
2016-04-12.10:11:31 || doWriting | Received queue message: 1
2016-04-12.10:11:32 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:32 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:32 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:32 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:32 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:32 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:32 || processMessages | Processing input queue message: 1
2016-04-12.10:11:32 || doWriting | Received queue message: 1
2016-04-12.10:11:32 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:32 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:32 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:32 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:32 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:32 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:32 || processMessages | Processing input queue message: 1
2016-04-12.10:11:32 || doWriting | Received queue message: 1
2016-04-12.10:11:33 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:33 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:33 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:33 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:33 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:33 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:33 || processMessages | Processing input queue message: 1
2016-04-12.10:11:33 || doWriting | Received queue message: 1
2016-04-12.10:11:33 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:33 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:33 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:33 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:33 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:33 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:33 || processMessages | Processing input queue message: 1
2016-04-12.10:11:33 || doWriting | Received queue message: 1
2016-04-12.10:11:33 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:33 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:33 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:33 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:34 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:34 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:34 || processMessages | Processing input queue message: 1
2016-04-12.10:11:34 || doWriting | Received queue message: 1
2016-04-12.10:11:34 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:34 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:34 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:34 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:34 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:34 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:34 || processMessages | Processing input queue message: 1
2016-04-12.10:11:34 || doWriting | Received queue message: 1
2016-04-12.10:11:34 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:34 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:34 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:34 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:35 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:35 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:35 || processMessages | Processing input queue message: 1
2016-04-12.10:11:35 || doWriting | Received queue message: 1
2016-04-12.10:11:35 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:35 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:35 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:35 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:35 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:35 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:35 || processMessages | Processing input queue message: 1
2016-04-12.10:11:35 || doWriting | Received queue message: 1
2016-04-12.10:11:35 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:35 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:35 || processMessages | Processing input queue message: hola mundo
2016-04-12.10:11:35 || doWriting | Received queue message: hola mundo
2016-04-12.10:11:35 || doReading | Client send this message: 015Mensaje1  i1
2016-04-12.10:11:35 || doReading | Inserting message '015Mensaje1  i1' into clients queue
2016-04-12.10:11:35 || processMessages | Processing input queue message: 1
2016-04-12.10:11:35 || doWriting | Received queue message: 1
2016-04-12.10:11:36 || doReading | Client send this message: 024Mensaje2  shola mundo
2016-04-12.10:11:36 || doReading | Inserting message '024Mensaje2  shola mundo' into clients queue
2016-04-12.10:11:36 || processMessages | Processing input queue message: hola mundo
